x,y,Result,Shot Type,Player,Round,Quarter
-162,-81,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q1
25,124,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q1
262,14,Behind,General Play,Dylan Williams,Round 1 - Waverley (H),Q1
-2,-131,Goal,Set Shot,Tom Smith,Round 1 - Waverley (H),Q1
-132,-166,Goal,General Play,Nick Kann,Round 1 - Waverley (H),Q1
-123,80,Goal,General Play,Dylan Williams,Round 1 - Waverley (H),Q1
-234,-66,Behind,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q2
-54,56,Goal,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q2
-75,134,Goal,General Play,Jack Mahon,Round 1 - Waverley (H),Q2
126,170,Behind,General Play,Renan Falahey,Round 1 - Waverley (H),Q2
195,20,Goal,General Play,Kobe Vitacca,Round 1 - Waverley (H),Q2
147,-104,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q2
-222,109,Behind,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q3
-11,188,Goal,Set Shot,Ben Palmer,Round 1 - Waverley (H),Q3
-185,-17,Behind,General Play,Tom Smith,Round 1 - Waverley (H),Q3
69,-42,Behind,Set Shot,Tom Smith,Round 1 - Waverley (H),Q3
168,-133,Miss,General Play,Lachie Summers,Round 1 - Waverley (H),Q3
-233,-63,Miss,General Play,Jack Mahon,Round 1 - Waverley (H),Q3
141,45,Goal,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q3
17,96,Goal,General Play,Renan Falahey,Round 1 - Waverley (H),Q3
-5,-178,Behind,General Play,Nick Kann,Round 1 - Waverley (H),Q4
81,172,Goal,General Play,Dylan Williams,Round 1 - Waverley (H),Q4
-138,-122,Goal,General Play,Quentin Parry,Round 1 - Waverley (H),Q4
-22,47,Behind,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q4
-117,86,Goal,Set Shot,Tom Smith,Round 1 - Waverley (H),Q4
216,-61,Goal,Set Shot,Dylan Williams,Round 2 - Scoresby (H),Q1
-78,-52,Goal,Set Shot,Tom Smith,Round 2 - Scoresby (H),Q1
-256,26,Behind,Set Shot,Dylan Williams,Round 2 - Scoresby (H),Q1
40,168,Goal,Set Shot,Hayden Telford,Round 2 - Scoresby (H),Q1
2,0,Goal,General Play,Jack Mahon,Round 2 - Scoresby (H),Q1
87,197,Behind,General Play,Dylan Williams,Round 2 - Scoresby (H),Q1
241,48,Miss,General Play,Tom Smith,Round 2 - Scoresby (H),Q2
-73,-121,Behind,Set Shot,Ben Palmer,Round 2 - Scoresby (H),Q2
-3,208,Goal,Set Shot,Renan Falahey,Round 2 - Scoresby (H),Q2
-166,38,Behind,Set Shot,Renan Falahey,Round 2 - Scoresby (H),Q2
147,-36,Goal,General Play,Tadan Vitacca,Round 2 - Scoresby (H),Q2
-19,-10,Goal,Set Shot,Ben Palmer,Round 2 - Scoresby (H),Q2
-185,33,Goal,Set Shot,Jack Mahon,Round 2 - Scoresby (H),Q2
244,-47,Goal,Set Shot,Sam Harte,Round 2 - Scoresby (H),Q2
92,107,Goal,General Play,Dylan Williams,Round 2 - Scoresby (H),Q3
81,-164,Goal,Set Shot,Tom Smith,Round 2 - Scoresby (H),Q3
-61,95,Behind,General Play,Sam Harte,Round 2 - Scoresby (H),Q3
-130,-85,Behind,Set Shot,Ben Woodfull,Round 2 - Scoresby (H),Q3
28,64,Behind,Set Shot,Hayden Telford,Round 2 - Scoresby (H),Q3
107,-5,Goal,General Play,Ben Palmer,Round 2 - Scoresby (H),Q3
-55,-24,Goal,General Play,Tom Smith,Round 2 - Scoresby (H),Q4
-225,-119,Goal,Set Shot,Dylan Williams,Round 2 - Scoresby (H),Q4
55,-135,Behind,Set Shot,Dylan Williams,Round 2 - Scoresby (H),Q4
-88,-140,Goal,General Play,Jack Woods,Round 2 - Scoresby (H),Q4
113,-185,Behind,General Play,Nick Kann,Round 2 - Scoresby (H),Q4
-83,173,Goal,General Play,Sam Harte,Round 2 - Scoresby (H),Q4
166,33,Behind,Set Shot,Hayden Telford,Round 2 - Scoresby (H),Q4
-36,-85,Goal,Set Shot,Hayden Telford,Round 2 - Scoresby (H),Q4
-119,-21,Miss,General Play,Renan Falahey,Round 2 - Scoresby (H),Q4
-9,159,Goal,Set Shot,Dylan Williams,Round 2 - Scoresby (H),Q4
