x,y,Result,Shot Type,Player,Round,Quarter
-162,-81,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q1
25,124,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q1
262,14,Behind,General Play,Dylan Williams,Round 1 - Waverley (H),Q1
-2,-131,Goal,Set Shot,Tom Smith,Round 1 - Waverley (H),Q1
-132,-166,Goal,General Play,Nick Kann,Round 1 - Waverley (H),Q1
-123,80,Goal,General Play,Dylan Williams,Round 1 - Waverley (H),Q1
-234,-66,Behind,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q2
-54,56,Goal,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q2
-75,134,Goal,General Play,Jack Mahon,Round 1 - Waverley (H),Q2
126,170,Behind,General Play,Renan Falahey,Round 1 - Waverley (H),Q2
195,20,Goal,General Play,Kobe Vitacca,Round 1 - Waverley (H),Q2
147,-104,Goal,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q2
-222,109,Behind,Set Shot,Dylan Williams,Round 1 - Waverley (H),Q3
-11,188,Goal,Set Shot,Ben Palmer,Round 1 - Waverley (H),Q3
-185,-17,Behind,General Play,Tom Smith,Round 1 - Waverley (H),Q3
69,-42,Behind,Set Shot,Tom Smith,Round 1 - Waverley (H),Q3
168,-133,Miss,General Play,Lachie Summers,Round 1 - Waverley (H),Q3
-233,-63,Miss,General Play,Jack Mahon,Round 1 - Waverley (H),Q3
141,45,Goal,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q3
17,96,Goal,General Play,Renan Falahey,Round 1 - Waverley (H),Q3
-5,-178,Behind,General Play,Nick Kann,Round 1 - Waverley (H),Q4
81,172,Goal,General Play,Dylan Williams,Round 1 - Waverley (H),Q4
-138,-122,Goal,General Play,Quentin Parry,Round 1 - Waverley (H),Q4
-22,47,Behind,Set Shot,Hayden Telford,Round 1 - Waverley (H),Q4
-117,86,Goal,Set Shot,Tom Smith,Round 1 - Waverley (H),Q4
